,iata_code,latitude,longitude
764,BJK,-6.0662,134.273928
765,BJL,13.337961,-16.652206
766,BJM,-3.324019,29.318519
767,BJN,-17.167,37.95
768,BJO,-22.773336,-64.312881
769,BJP,-4.6333333333333,-39.766666666667
770,BJR,11.608075,37.321644
771,BJT,6.4211111111111,79.998888888889
772,BJU,29.502,81.669
773,BJV,37.250611,27.664311
774,BJW,-8.817,120.983
775,BJX,20.993464,-101.480847
776,BJY,44.935331,20.257506
777,BJZ,38.89125,-6.821333
778,BKA,55.617222,38.059999
779,BKB,28.070606,73.207161
780,BKC,65.981565,-161.149071
781,BKD,32.718753,-98.891597
782,BKE,44.83735,-117.809144
783,BKF,58.554843,-155.777388
784,BKH,22.022774,-159.785059
785,BKI,5.937208,116.051181
786,BKJ,10.965833,-14.281111
787,BKK,13.681108,100.747283
788,BKL,41.5175,-81.683333
789,BKM,3.988611,115.618889
790,BKN,13.8,5.25
791,BKO,12.533544,-7.949944
792,BKP,-20.464167,138.471111
793,BKQ,-24.427778,145.428611
794,BKR,12.385278,17.070833
795,BKS,-3.8637,102.339036
796,BKT,37.074346,-77.957346
797,BKU,-23.733,44.389
798,BKW,37.787326,-81.124164
799,BKX,44.304833,-96.816944
800,BKY,-2.308978,28.808803
801,BKZ,-1.3,31.8
802,BLA,10.107139,-64.689161
803,BLB,8.914794,-79.599633
804,BLC,5.894722,10.033333
805,BLD,35.94748,-114.861097
806,BLE,60.422017,15.515211
807,BLF,37.295806,-81.207694
808,BLG,2.636111,113.760556
809,BLH,33.619167,-114.716889
810,BLI,48.792694,-122.537528
811,BLJ,35.759167,6.3225
812,BLK,53.771667,-3.028611
813,BLL,55.740322,9.151778
814,BLM,40.18675,-74.124556
815,BLN,-36.551944,146.006667
816,BLO,65.645,-20.2875
817,BLP,-7.060556,-76.582222
818,BLQ,44.535444,11.288667
819,BLR,13.198867,77.705472
820,BLS,-28.0525,147.48
821,BLT,-23.603056,148.806944
822,BLU,39.274972,-120.70975
823,BLV,38.545167,-89.835194
824,BLW,21.35,-157.71666666667
825,BLX,46.166667,12.245278
826,BLY,54.222778,-10.030833
827,BLZ,-15.679053,34.974014
828,BMA,59.354372,17.94165
829,BMB,2.182778,22.481667
830,BMC,41.552389,-112.062222
831,BMD,-19.686667,44.541944
832,BME,-17.944722,122.231667
833,BMF,5.694,22.801
834,BMG,39.146021,-86.61668
835,BMH,-6.367,144.633
836,BMI,40.477111,-88.915917
837,BMJ,7.417,-60.5
838,BMK,53.5955,6.709167
839,BML,44.575361,-71.175917
